index,Sex_,Pclass__1,Pclass__2,Pclass__3,Embarked__C,Embarked__Q,Embarked__S,FamilySize,Age_,Fare_
0,1,0,0,1,0,0,1,2,22.0,7.25
1,0,1,0,0,1,0,0,2,38.0,71.2833
2,0,0,0,1,0,0,1,1,26.0,7.925
3,0,1,0,0,0,0,1,2,35.0,53.1
4,1,0,0,1,0,0,1,1,35.0,8.05
5,1,0,0,1,0,1,0,1,29.69911764705882,8.4583
6,1,1,0,0,0,0,1,1,54.0,51.8625
7,1,0,0,1,0,0,1,5,2.0,21.075
8,0,0,0,1,0,0,1,3,27.0,11.1333
9,0,0,1,0,1,0,0,2,14.0,30.0708
10,0,0,0,1,0,0,1,3,4.0,16.7
11,0,1,0,0,0,0,1,1,58.0,26.55
12,1,0,0,1,0,0,1,1,20.0,8.05
13,1,0,0,1,0,0,1,7,39.0,31.275
14,0,0,0,1,0,0,1,1,14.0,7.8542
15,0,0,1,0,0,0,1,1,55.0,16.0
16,1,0,0,1,0,1,0,6,2.0,29.125
17,1,0,1,0,0,0,1,1,29.69911764705882,13.0
18,0,0,0,1,0,0,1,2,31.0,18.0
19,0,0,0,1,1,0,0,1,29.69911764705882,7.225
20,1,0,1,0,0,0,1,1,35.0,26.0
21,1,0,1,0,0,0,1,1,34.0,13.0
22,0,0,0,1,0,1,0,1,15.0,8.0292
23,1,1,0,0,0,0,1,1,28.0,35.5
24,0,0,0,1,0,0,1,5,8.0,21.075
25,0,0,0,1,0,0,1,7,38.0,31.3875
26,1,0,0,1,1,0,0,1,29.69911764705882,7.225
27,1,1,0,0,0,0,1,6,19.0,263.0
28,0,0,0,1,0,1,0,1,29.69911764705882,7.8792
29,1,0,0,1,0,0,1,1,29.69911764705882,7.8958
30,1,1,0,0,1,0,0,1,40.0,27.7208
31,0,1,0,0,1,0,0,2,29.69911764705882,146.5208
32,0,0,0,1,0,1,0,1,29.69911764705882,7.75
33,1,0,1,0,0,0,1,1,66.0,10.5
34,1,1,0,0,1,0,0,2,28.0,82.1708
35,1,1,0,0,0,0,1,2,42.0,52.0
36,1,0,0,1,1,0,0,1,29.69911764705882,7.2292
37,1,0,0,1,0,0,1,1,21.0,8.05
38,0,0,0,1,0,0,1,3,18.0,18.0
39,0,0,0,1,1,0,0,2,14.0,11.2417
40,0,0,0,1,0,0,1,2,40.0,9.475
41,0,0,1,0,0,0,1,2,27.0,21.0
42,1,0,0,1,1,0,0,1,29.69911764705882,7.8958
43,0,0,1,0,1,0,0,4,3.0,41.5792
44,0,0,0,1,0,1,0,1,19.0,7.8792
45,1,0,0,1,0,0,1,1,29.69911764705882,8.05
46,1,0,0,1,0,1,0,2,29.69911764705882,15.5
47,0,0,0,1,0,1,0,1,29.69911764705882,7.75
48,1,0,0,1,1,0,0,3,29.69911764705882,21.6792
49,0,0,0,1,0,0,1,2,18.0,17.8
50,1,0,0,1,0,0,1,6,7.0,39.6875
51,1,0,0,1,0,0,1,1,21.0,7.8
52,0,1,0,0,1,0,0,2,49.0,76.7292
53,0,0,1,0,0,0,1,2,29.0,26.0
54,1,1,0,0,1,0,0,2,65.0,61.9792
55,1,1,0,0,0,0,1,1,29.69911764705882,35.5
56,0,0,1,0,0,0,1,1,21.0,10.5
57,1,0,0,1,1,0,0,1,28.5,7.2292
58,0,0,1,0,0,0,1,4,5.0,27.75
59,1,0,0,1,0,0,1,8,11.0,46.9
60,1,0,0,1,1,0,0,1,22.0,7.2292
61,0,1,0,0,0,0,0,1,38.0,80.0
62,1,1,0,0,0,0,1,2,45.0,83.475
63,1,0,0,1,0,0,1,6,4.0,27.9
64,1,1,0,0,1,0,0,1,29.69911764705882,27.7208
65,1,0,0,1,1,0,0,3,29.69911764705882,15.2458
66,0,0,1,0,0,0,1,1,29.0,10.5
67,1,0,0,1,0,0,1,1,19.0,8.1583
68,0,0,0,1,0,0,1,7,17.0,7.925
69,1,0,0,1,0,0,1,3,26.0,8.6625
70,1,0,1,0,0,0,1,1,32.0,10.5
71,0,0,0,1,0,0,1,8,16.0,46.9
72,1,0,1,0,0,0,1,1,21.0,73.5
73,1,0,0,1,1,0,0,2,26.0,14.4542
74,1,0,0,1,0,0,1,1,32.0,56.4958
75,1,0,0,1,0,0,1,1,25.0,7.65
76,1,0,0,1,0,0,1,1,29.69911764705882,7.8958
77,1,0,0,1,0,0,1,1,29.69911764705882,8.05
78,1,0,1,0,0,0,1,3,0.83,29.0
79,0,0,0,1,0,0,1,1,30.0,12.475
80,1,0,0,1,0,0,1,1,22.0,9.0
81,1,0,0,1,0,0,1,1,29.0,9.5
82,0,0,0,1,0,1,0,1,29.69911764705882,7.7875
83,1,1,0,0,0,0,1,1,28.0,47.1
84,0,0,1,0,0,0,1,1,17.0,10.5
85,0,0,0,1,0,0,1,4,33.0,15.85
86,1,0,0,1,0,0,1,5,16.0,34.375
87,1,0,0,1,0,0,1,1,29.69911764705882,8.05
88,0,1,0,0,0,0,1,6,23.0,263.0
89,1,0,0,1,0,0,1,1,24.0,8.05
90,1,0,0,1,0,0,1,1,29.0,8.05
91,1,0,0,1,0,0,1,1,20.0,7.8542
92,1,1,0,0,0,0,1,2,46.0,61.175
93,1,0,0,1,0,0,1,4,26.0,20.575
94,1,0,0,1,0,0,1,1,59.0,7.25
95,1,0,0,1,0,0,1,1,29.69911764705882,8.05
96,1,1,0,0,1,0,0,1,71.0,34.6542
97,1,1,0,0,1,0,0,2,23.0,63.3583
98,0,0,1,0,0,0,1,2,34.0,23.0
99,1,0,1,0,0,0,1,2,34.0,26.0
100,0,0,0,1,0,0,1,1,28.0,7.8958
101,1,0,0,1,0,0,1,1,29.69911764705882,7.8958
102,1,1,0,0,0,0,1,2,21.0,77.2875
103,1,0,0,1,0,0,1,1,33.0,8.6542
104,1,0,0,1,0,0,1,3,37.0,7.925
105,1,0,0,1,0,0,1,1,28.0,7.8958
106,0,0,0,1,0,0,1,1,21.0,7.65
107,1,0,0,1,0,0,1,1,29.69911764705882,7.775
108,1,0,0,1,0,0,1,1,38.0,7.8958
109,0,0,0,1,0,1,0,2,29.69911764705882,24.15
110,1,1,0,0,0,0,1,1,47.0,52.0
111,0,0,0,1,1,0,0,2,14.5,14.4542
112,1,0,0,1,0,0,1,1,22.0,8.05
113,0,0,0,1,0,0,1,2,20.0,9.825
114,0,0,0,1,1,0,0,1,17.0,14.4583
115,1,0,0,1,0,0,1,1,21.0,7.925
116,1,0,0,1,0,1,0,1,70.5,7.75
117,1,0,1,0,0,0,1,2,29.0,21.0
118,1,1,0,0,1,0,0,2,24.0,247.5208
119,0,0,0,1,0,0,1,7,2.0,31.275
120,1,0,1,0,0,0,1,3,21.0,73.5
121,1,0,0,1,0,0,1,1,29.69911764705882,8.05
122,1,0,1,0,1,0,0,2,32.5,30.0708
123,0,0,1,0,0,0,1,1,32.5,13.0
124,1,1,0,0,0,0,1,2,54.0,77.2875
125,1,0,0,1,1,0,0,2,12.0,11.2417
126,1,0,0,1,0,1,0,1,29.69911764705882,7.75
127,1,0,0,1,0,0,1,1,24.0,7.1417
128,0,0,0,1,1,0,0,3,29.69911764705882,22.3583
129,1,0,0,1,0,0,1,1,45.0,6.975
130,1,0,0,1,1,0,0,1,33.0,7.8958
131,1,0,0,1,0,0,1,1,20.0,7.05
132,0,0,0,1,0,0,1,2,47.0,14.5
133,0,0,1,0,0,0,1,2,29.0,26.0
134,1,0,1,0,0,0,1,1,25.0,13.0
135,1,0,1,0,1,0,0,1,23.0,15.0458
136,0,1,0,0,0,0,1,3,19.0,26.2833
137,1,1,0,0,0,0,1,2,37.0,53.1
138,1,0,0,1,0,0,1,1,16.0,9.2167
139,1,1,0,0,1,0,0,1,24.0,79.2
140,0,0,0,1,1,0,0,3,29.69911764705882,15.2458
141,0,0,0,1,0,0,1,1,22.0,7.75
142,0,0,0,1,0,0,1,2,24.0,15.85
143,1,0,0,1,0,1,0,1,19.0,6.75
144,1,0,1,0,0,0,1,1,18.0,11.5
145,1,0,1,0,0,0,1,3,19.0,36.75
146,1,0,0,1,0,0,1,1,27.0,7.7958
147,0,0,0,1,0,0,1,5,9.0,34.375
148,1,0,1,0,0,0,1,3,36.5,26.0
149,1,0,1,0,0,0,1,1,42.0,13.0
150,1,0,1,0,0,0,1,1,51.0,12.525
151,0,1,0,0,0,0,1,2,22.0,66.6
152,1,0,0,1,0,0,1,1,55.5,8.05
153,1,0,0,1,0,0,1,3,40.5,14.5
154,1,0,0,1,0,0,1,1,29.69911764705882,7.3125
155,1,1,0,0,1,0,0,2,51.0,61.3792
156,0,0,0,1,0,1,0,1,16.0,7.7333
157,1,0,0,1,0,0,1,1,30.0,8.05
158,1,0,0,1,0,0,1,1,29.69911764705882,8.6625
159,1,0,0,1,0,0,1,11,29.69911764705882,69.55
160,1,0,0,1,0,0,1,2,44.0,16.1
161,0,0,1,0,0,0,1,1,40.0,15.75
162,1,0,0,1,0,0,1,1,26.0,7.775
163,1,0,0,1,0,0,1,1,17.0,8.6625
164,1,0,0,1,0,0,1,6,1.0,39.6875
165,1,0,0,1,0,0,1,3,9.0,20.525
166,0,1,0,0,0,0,1,2,29.69911764705882,55.0
167,0,0,0,1,0,0,1,6,45.0,27.9
168,1,1,0,0,0,0,1,1,29.69911764705882,25.925
169,1,0,0,1,0,0,1,1,28.0,56.4958
170,1,1,0,0,0,0,1,1,61.0,33.5
171,1,0,0,1,0,1,0,6,4.0,29.125
172,0,0,0,1,0,0,1,3,1.0,11.1333
173,1,0,0,1,0,0,1,1,21.0,7.925
174,1,1,0,0,1,0,0,1,56.0,30.6958
175,1,0,0,1,0,0,1,3,18.0,7.8542
176,1,0,0,1,0,0,1,5,29.69911764705882,25.4667
177,0,1,0,0,1,0,0,1,50.0,28.7125
178,1,0,1,0,0,0,1,1,30.0,13.0
179,1,0,0,1,0,0,1,1,36.0,0.0
180,0,0,0,1,0,0,1,11,29.69911764705882,69.55
181,1,0,1,0,1,0,0,1,29.69911764705882,15.05
182,1,0,0,1,0,0,1,7,9.0,31.3875
183,1,0,1,0,0,0,1,4,1.0,39.0
184,0,0,0,1,0,0,1,3,4.0,22.025
185,1,1,0,0,0,0,1,1,29.69911764705882,50.0
186,0,0,0,1,0,1,0,2,29.69911764705882,15.5
187,1,1,0,0,0,0,1,1,45.0,26.55
188,1,0,0,1,0,1,0,3,40.0,15.5
189,1,0,0,1,0,0,1,1,36.0,7.8958
190,0,0,1,0,0,0,1,1,32.0,13.0
191,1,0,1,0,0,0,1,1,19.0,13.0
192,0,0,0,1,0,0,1,2,19.0,7.8542
193,1,0,1,0,0,0,1,3,3.0,26.0
194,0,1,0,0,1,0,0,1,44.0,27.7208
195,0,1,0,0,1,0,0,1,58.0,146.5208
196,1,0,0,1,0,1,0,1,29.69911764705882,7.75
197,1,0,0,1,0,0,1,2,42.0,8.4042
198,0,0,0,1,0,1,0,1,29.69911764705882,7.75
199,0,0,1,0,0,0,1,1,24.0,13.0
200,1,0,0,1,0,0,1,1,28.0,9.5
201,1,0,0,1,0,0,1,11,29.69911764705882,69.55
202,1,0,0,1,0,0,1,1,34.0,6.4958
203,1,0,0,1,1,0,0,1,45.5,7.225
204,1,0,0,1,0,0,1,1,18.0,8.05
205,0,0,0,1,0,0,1,2,2.0,10.4625
206,1,0,0,1,0,0,1,2,32.0,15.85
207,1,0,0,1,1,0,0,1,26.0,18.7875
208,0,0,0,1,0,1,0,1,16.0,7.75
209,1,1,0,0,1,0,0,1,40.0,31.0
210,1,0,0,1,0,0,1,1,24.0,7.05
211,0,0,1,0,0,0,1,1,35.0,21.0
212,1,0,0,1,0,0,1,1,22.0,7.25
213,1,0,1,0,0,0,1,1,30.0,13.0
214,1,0,0,1,0,1,0,2,29.69911764705882,7.75
215,0,1,0,0,1,0,0,2,31.0,113.275
216,0,0,0,1,0,0,1,1,27.0,7.925
217,1,0,1,0,0,0,1,2,42.0,27.0
218,0,1,0,0,1,0,0,1,32.0,76.2917
219,1,0,1,0,0,0,1,1,30.0,10.5
220,1,0,0,1,0,0,1,1,16.0,8.05
221,1,0,1,0,0,0,1,1,27.0,13.0
222,1,0,0,1,0,0,1,1,51.0,8.05
223,1,0,0,1,0,0,1,1,29.69911764705882,7.8958
224,1,1,0,0,0,0,1,2,38.0,90.0
225,1,0,0,1,0,0,1,1,22.0,9.35
226,1,0,1,0,0,0,1,1,19.0,10.5
227,1,0,0,1,0,0,1,1,20.5,7.25
228,1,0,1,0,0,0,1,1,18.0,13.0
229,0,0,0,1,0,0,1,5,29.69911764705882,25.4667
230,0,1,0,0,0,0,1,2,35.0,83.475
231,1,0,0,1,0,0,1,1,29.0,7.775
232,1,0,1,0,0,0,1,1,59.0,13.5
233,0,0,0,1,0,0,1,7,5.0,31.3875
234,1,0,1,0,0,0,1,1,24.0,10.5
235,0,0,0,1,0,0,1,1,29.69911764705882,7.55
236,1,0,1,0,0,0,1,2,44.0,26.0
237,0,0,1,0,0,0,1,3,8.0,26.25
238,1,0,1,0,0,0,1,1,19.0,10.5
239,1,0,1,0,0,0,1,1,33.0,12.275
240,0,0,0,1,1,0,0,2,29.69911764705882,14.4542
241,0,0,0,1,0,1,0,2,29.69911764705882,15.5
242,1,0,1,0,0,0,1,1,29.0,10.5
243,1,0,0,1,0,0,1,1,22.0,7.125
244,1,0,0,1,1,0,0,1,30.0,7.225
245,1,1,0,0,0,1,0,3,44.0,90.0
246,0,0,0,1,0,0,1,1,25.0,7.775
247,0,0,1,0,0,0,1,3,24.0,14.5
248,1,1,0,0,0,0,1,3,37.0,52.5542
249,1,0,1,0,0,0,1,2,54.0,26.0
250,1,0,0,1,0,0,1,1,29.69911764705882,7.25
251,0,0,0,1,0,0,1,3,29.0,10.4625
252,1,1,0,0,0,0,1,1,62.0,26.55
253,1,0,0,1,0,0,1,2,30.0,16.1
254,0,0,0,1,0,0,1,3,41.0,20.2125
255,0,0,0,1,1,0,0,3,29.0,15.2458
256,0,1,0,0,1,0,0,1,29.69911764705882,79.2
257,0,1,0,0,0,0,1,1,30.0,86.5
258,0,1,0,0,1,0,0,1,35.0,512.3292
259,0,0,1,0,0,0,1,2,50.0,26.0
260,1,0,0,1,0,1,0,1,29.69911764705882,7.75
261,1,0,0,1,0,0,1,7,3.0,31.3875
262,1,1,0,0,0,0,1,3,52.0,79.65
263,1,1,0,0,0,0,1,1,40.0,0.0
264,0,0,0,1,0,1,0,1,29.69911764705882,7.75
265,1,0,1,0,0,0,1,1,36.0,10.5
266,1,0,0,1,0,0,1,6,16.0,39.6875
267,1,0,0,1,0,0,1,2,25.0,7.775
268,0,1,0,0,0,0,1,2,58.0,153.4625
269,0,1,0,0,0,0,1,1,35.0,135.6333
270,1,1,0,0,0,0,1,1,29.69911764705882,31.0
271,1,0,0,1,0,0,1,1,25.0,0.0
272,0,0,1,0,0,0,1,2,41.0,19.5
273,1,1,0,0,1,0,0,2,37.0,29.7
274,0,0,0,1,0,1,0,1,29.69911764705882,7.75
275,0,1,0,0,0,0,1,2,63.0,77.9583
276,0,0,0,1,0,0,1,1,45.0,7.75
277,1,0,1,0,0,0,1,1,29.69911764705882,0.0
278,1,0,0,1,0,1,0,6,7.0,29.125
279,0,0,0,1,0,0,1,3,35.0,20.25
280,1,0,0,1,0,1,0,1,65.0,7.75
281,1,0,0,1,0,0,1,1,28.0,7.8542
282,1,0,0,1,0,0,1,1,16.0,9.5
283,1,0,0,1,0,0,1,1,19.0,8.05
284,1,1,0,0,0,0,1,1,29.69911764705882,26.0
285,1,0,0,1,1,0,0,1,33.0,8.6625
286,1,0,0,1,0,0,1,1,30.0,9.5
287,1,0,0,1,0,0,1,1,22.0,7.8958
288,1,0,1,0,0,0,1,1,42.0,13.0
289,0,0,0,1,0,1,0,1,22.0,7.75
290,0,1,0,0,0,0,1,1,26.0,78.85
291,0,1,0,0,1,0,0,2,19.0,91.0792
292,1,0,1,0,1,0,0,1,36.0,12.875
293,0,0,0,1,0,0,1,1,24.0,8.85
294,1,0,0,1,0,0,1,1,24.0,7.8958
295,1,1,0,0,1,0,0,1,29.69911764705882,27.7208
296,1,0,0,1,1,0,0,1,23.5,7.2292
297,0,1,0,0,0,0,1,4,2.0,151.55
298,1,1,0,0,0,0,1,1,29.69911764705882,30.5
299,0,1,0,0,1,0,0,2,50.0,247.5208
300,0,0,0,1,0,1,0,1,29.69911764705882,7.75
301,1,0,0,1,0,1,0,3,29.69911764705882,23.25
302,1,0,0,1,0,0,1,1,19.0,0.0
303,0,0,1,0,0,1,0,1,29.69911764705882,12.35
304,1,0,0,1,0,0,1,1,29.69911764705882,8.05
305,1,1,0,0,0,0,1,4,0.92,151.55
306,0,1,0,0,1,0,0,1,29.69911764705882,110.8833
307,0,1,0,0,1,0,0,2,17.0,108.9
308,1,0,1,0,1,0,0,2,30.0,24.0
309,0,1,0,0,1,0,0,1,30.0,56.9292
310,0,1,0,0,1,0,0,1,24.0,83.1583
311,0,1,0,0,1,0,0,5,18.0,262.375
312,0,0,1,0,0,0,1,3,26.0,26.0
313,1,0,0,1,0,0,1,1,28.0,7.8958
314,1,0,1,0,0,0,1,3,43.0,26.25
315,0,0,0,1,0,0,1,1,26.0,7.8542
316,0,0,1,0,0,0,1,2,24.0,26.0
317,1,0,1,0,0,0,1,1,54.0,14.0
318,0,1,0,0,0,0,1,3,31.0,164.8667
319,0,1,0,0,1,0,0,3,40.0,134.5
320,1,0,0,1,0,0,1,1,22.0,7.25
321,1,0,0,1,0,0,1,1,27.0,7.8958
322,0,0,1,0,0,1,0,1,30.0,12.35
323,0,0,1,0,0,0,1,3,22.0,29.0
324,1,0,0,1,0,0,1,11,29.69911764705882,69.55
325,0,1,0,0,1,0,0,1,36.0,135.6333
326,1,0,0,1,0,0,1,1,61.0,6.2375
327,0,0,1,0,0,0,1,1,36.0,13.0
328,0,0,0,1,0,0,1,3,31.0,20.525
329,0,1,0,0,1,0,0,2,16.0,57.9792
330,0,0,0,1,0,1,0,3,29.69911764705882,23.25
331,1,1,0,0,0,0,1,1,45.5,28.5
332,1,1,0,0,0,0,1,2,38.0,153.4625
333,1,0,0,1,0,0,1,3,16.0,18.0
334,0,1,0,0,0,0,1,2,29.69911764705882,133.65
335,1,0,0,1,0,0,1,1,29.69911764705882,7.8958
336,1,1,0,0,0,0,1,2,29.0,66.6
337,0,1,0,0,1,0,0,1,41.0,134.5
338,1,0,0,1,0,0,1,1,45.0,8.05
339,1,1,0,0,0,0,1,1,45.0,35.5
340,1,0,1,0,0,0,1,3,2.0,26.0
341,0,1,0,0,0,0,1,6,24.0,263.0
342,1,0,1,0,0,0,1,1,28.0,13.0
343,1,0,1,0,0,0,1,1,25.0,13.0
344,1,0,1,0,0,0,1,1,36.0,13.0
345,0,0,1,0,0,0,1,1,24.0,13.0
346,0,0,1,0,0,0,1,1,40.0,13.0
347,0,0,0,1,0,0,1,2,29.69911764705882,16.1
348,1,0,0,1,0,0,1,3,3.0,15.9
349,1,0,0,1,0,0,1,1,42.0,8.6625
350,1,0,0,1,0,0,1,1,23.0,9.225
351,1,1,0,0,0,0,1,1,29.69911764705882,35.0
352,1,0,0,1,1,0,0,3,15.0,7.2292
353,1,0,0,1,0,0,1,2,25.0,17.8
354,1,0,0,1,1,0,0,1,29.69911764705882,7.225
355,1,0,0,1,0,0,1,1,28.0,9.5
356,0,1,0,0,0,0,1,2,22.0,55.0
357,0,0,1,0,0,0,1,1,38.0,13.0
358,0,0,0,1,0,1,0,1,29.69911764705882,7.8792
359,0,0,0,1,0,1,0,1,29.69911764705882,7.8792
360,1,0,0,1,0,0,1,6,40.0,27.9
361,1,0,1,0,1,0,0,2,29.0,27.7208
362,0,0,0,1,1,0,0,2,45.0,14.4542
363,1,0,0,1,0,0,1,1,35.0,7.05
364,1,0,0,1,0,1,0,2,29.69911764705882,15.5
365,1,0,0,1,0,0,1,1,30.0,7.25
366,0,1,0,0,1,0,0,2,60.0,75.25
367,0,0,0,1,1,0,0,1,29.69911764705882,7.2292
368,0,0,0,1,0,1,0,1,29.69911764705882,7.75
369,0,1,0,0,1,0,0,1,24.0,69.3
370,1,1,0,0,1,0,0,2,25.0,55.4417
371,1,0,0,1,0,0,1,2,18.0,6.4958
372,1,0,0,1,0,0,1,1,19.0,8.05
373,1,1,0,0,1,0,0,1,22.0,135.6333
374,0,0,0,1,0,0,1,5,3.0,21.075
375,0,1,0,0,1,0,0,2,29.69911764705882,82.1708
376,0,0,0,1,0,0,1,1,22.0,7.25
377,1,1,0,0,1,0,0,3,27.0,211.5
378,1,0,0,1,1,0,0,1,20.0,4.0125
379,1,0,0,1,0,0,1,1,19.0,7.775
380,0,1,0,0,1,0,0,1,42.0,227.525
381,0,0,0,1,1,0,0,3,1.0,15.7417
382,1,0,0,1,0,0,1,1,32.0,7.925
383,0,1,0,0,0,0,1,2,35.0,52.0
384,1,0,0,1,0,0,1,1,29.69911764705882,7.8958
385,1,0,1,0,0,0,1,1,18.0,73.5
386,1,0,0,1,0,0,1,8,1.0,46.9
387,0,0,1,0,0,0,1,1,36.0,13.0
388,1,0,0,1,0,1,0,1,29.69911764705882,7.7292
389,0,0,1,0,1,0,0,1,17.0,12.0
390,1,1,0,0,0,0,1,4,36.0,120.0
391,1,0,0,1,0,0,1,1,21.0,7.7958
392,1,0,0,1,0,0,1,3,28.0,7.925
393,0,1,0,0,1,0,0,2,23.0,113.275
394,0,0,0,1,0,0,1,3,24.0,16.7
395,1,0,0,1,0,0,1,1,22.0,7.7958
396,0,0,0,1,0,0,1,1,31.0,7.8542
397,1,0,1,0,0,0,1,1,46.0,26.0
398,1,0,1,0,0,0,1,1,23.0,10.5
399,0,0,1,0,0,0,1,1,28.0,12.65
400,1,0,0,1,0,0,1,1,39.0,7.925
401,1,0,0,1,0,0,1,1,26.0,8.05
402,0,0,0,1,0,0,1,2,21.0,9.825
403,1,0,0,1,0,0,1,2,28.0,15.85
404,0,0,0,1,0,0,1,1,20.0,8.6625
405,1,0,1,0,0,0,1,2,34.0,21.0
406,1,0,0,1,0,0,1,1,51.0,7.75
407,1,0,1,0,0,0,1,3,3.0,18.75
408,1,0,0,1,0,0,1,1,21.0,7.775
409,0,0,0,1,0,0,1,5,29.69911764705882,25.4667
410,1,0,0,1,0,0,1,1,29.69911764705882,7.8958
411,1,0,0,1,0,1,0,1,29.69911764705882,6.8583
412,0,1,0,0,0,1,0,2,33.0,90.0
413,1,0,1,0,0,0,1,1,29.69911764705882,0.0
414,1,0,0,1,0,0,1,1,44.0,7.925
415,0,0,0,1,0,0,1,1,29.69911764705882,8.05
416,0,0,1,0,0,0,1,3,34.0,32.5
417,0,0,1,0,0,0,1,3,18.0,13.0
418,1,0,1,0,0,0,1,1,30.0,13.0
419,0,0,0,1,0,0,1,3,10.0,24.15
420,1,0,0,1,1,0,0,1,29.69911764705882,7.8958
421,1,0,0,1,0,1,0,1,21.0,7.7333
422,1,0,0,1,0,0,1,1,29.0,7.875
423,0,0,0,1,0,0,1,3,28.0,14.4
424,1,0,0,1,0,0,1,3,18.0,20.2125
425,1,0,0,1,0,0,1,1,29.69911764705882,7.25
426,0,0,1,0,0,0,1,2,28.0,26.0
427,0,0,1,0,0,0,1,1,19.0,26.0
428,1,0,0,1,0,1,0,1,29.69911764705882,7.75
429,1,0,0,1,0,0,1,1,32.0,8.05
430,1,1,0,0,0,0,1,1,28.0,26.55
431,0,0,0,1,0,0,1,2,29.69911764705882,16.1
432,0,0,1,0,0,0,1,2,42.0,26.0
433,1,0,0,1,0,0,1,1,17.0,7.125
434,1,1,0,0,0,0,1,2,50.0,55.9
435,0,1,0,0,0,0,1,4,14.0,120.0
436,0,0,0,1,0,0,1,5,21.0,34.375
437,0,0,1,0,0,0,1,6,24.0,18.75
438,1,1,0,0,0,0,1,6,64.0,263.0
439,1,0,1,0,0,0,1,1,31.0,10.5
440,0,0,1,0,0,0,1,3,45.0,26.25
441,1,0,0,1,0,0,1,1,20.0,9.5
442,1,0,0,1,0,0,1,2,25.0,7.775
443,0,0,1,0,0,0,1,1,28.0,13.0
444,1,0,0,1,0,0,1,1,29.69911764705882,8.1125
445,1,1,0,0,0,0,1,3,4.0,81.8583
